Interval|"ms"|0|0|1,Utc|"ms"|0|0|1,AccelX|"G"|-3.0|3.0|50,AccelY|"G"|-3.0|3.0|50,AccelZ|"G"|-3.0|3.0|50,Yaw|"Deg/Sec"|-120|120|50,Pitch|"Deg/Sec"|-120|120|50,Roll|"Deg/Sec"|-120|120|50,FTTS1|""|0.0|1000.0|50,FTTS2|""|0.0|1000.0|50,FTTS3|""|0.0|1000.0|50,FTTS4|""|0.0|1000.0|50,FR|""|0.0|1000.0|50,TPS|""|0.0|1000.0|50,FBPS|""|0.0|1000.0|50,STR|""|0.0|1000.0|50,MPUAccX|""|-20.0|20.0|50,MPUAccY|""|-20.0|20.0|50,MPUAccZ|""|-20.0|20.0|50,YawMPU|""|-20.0|20.0|50,PitchMPU|""|-20.0|20.0|50,RollMPU|""|-20.0|20.0|50, RSTR|""|0.0|1000.0|50, RL|""|0.0|1000.0|50, RBPS|""|0.0|1000.0|50, RR |""|0.0|1000.0|50,Latitude|"Degrees"|-180.0|180.0|10,Longitude|"Degrees"|-180.0|180.0|10,Speed|"mph"|0.0|150.0|10,Altitude|"ft"|0.0|4000.0|10,GPSSats|""|0|20|10,LapCount|""|0|0|10,LapTime|"Min"|0.0|0.0|10,Sector|""|0|0|10,SectorTime|"Min"|0.0|0.0|10,PredTime|"Min"|0.0|0.0|10,ElapsedTime|"Min"|0.0|0.0|10,CurrentLap|""|0|0|10
2166677,1.58E+12,0.92,0.07,-0.08,0,1,0,0,0,0,0,0,1,1.44,3.04,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166697,1.58E+12,0.91,0.06,-0.09,0,1,0,0,0,0,0,0,1,1.44,3.04,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166717,1.58E+12,0.9,0.06,-0.1,0,1,0,0,0,0,0,0,0.94,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166737,1.58E+12,0.91,0.05,-0.09,0,0,0,0,0,0,0,0,0.94,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166757,1.58E+12,0.92,0.04,-0.14,0,0,0,0,0,0,0,0,0.94,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166777,1.58E+12,0.9,0.04,-0.16,0,0,0,0,0,0,0,0,0.94,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166797,1.58E+12,0.91,0.02,-0.21,0,0,0,0,0,0,0,0,0.94,1.44,2.98,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166817,1.58E+12,0.88,0.06,-0.34,0,0,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166837,1.58E+12,0.85,0.07,-0.33,0,-2,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166857,1.58E+12,0.85,0.04,-0.32,-1,-3,0,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166877,1.58E+12,0.87,0.03,-0.4,0,-2,-1,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166897,1.58E+12,0.87,-0.01,-0.26,0,-1,-2,0,0,0,0,0,0.91,1.44,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166917,1.58E+12,0.88,-0.04,-0.31,0,-3,0,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
